epoch,global_step,loss,rougeL
1,50,5.6381,25.5156
1,100,4.1455,25.5156
1,150,3.5689,25.5156
1,200,3.1723,25.5156
1,250,2.9846,25.5156
1,300,3.0399,25.5156
1,350,2.8654,25.5156
1,400,2.8039,25.5156
1,450,2.7754,25.5156
1,500,2.73,25.5156
1,550,2.7193,25.5156
1,600,2.6944,25.5156
1,650,2.71,25.5156
1,700,2.6249,25.5156
1,750,2.673,25.5156
1,800,2.6358,25.5156
1,850,2.5436,25.5156
1,900,2.5942,25.5156
1,950,2.5349,25.5156
1,1000,2.6581,25.5156
1,1050,2.5552,25.5156
1,1100,2.5666,25.5156
1,1150,2.5562,25.5156
1,1200,2.4954,25.5156
1,1250,2.5764,25.5156
1,1300,2.5387,25.5156
1,1350,2.5097,25.5156
1,1400,2.589,25.5156
2,1450,2.5463,27.287
2,1500,2.366,27.287
2,1550,2.2676,27.287
2,1600,2.404,27.287
2,1650,2.246,27.287
2,1700,2.3747,27.287
2,1750,2.4783,27.287
2,1800,2.2905,27.287
2,1850,2.3346,27.287
2,1900,2.3565,27.287
2,1950,2.3836,27.287
2,2000,2.4258,27.287
2,2050,2.4215,27.287
2,2100,2.4094,27.287
2,2150,2.3085,27.287
2,2200,2.3781,27.287
2,2250,2.3579,27.287
2,2300,2.2419,27.287
2,2350,2.3667,27.287
2,2400,2.4194,27.287
2,2450,2.4015,27.287
2,2500,2.6722,27.287
2,2550,2.2359,27.287
2,2600,2.4189,27.287
2,2650,2.2626,27.287
2,2700,2.3485,27.287
2,2750,2.337,27.287
2,2800,2.4409,27.287
2,2850,2.3878,27.287
3,2900,2.2406,27.671
3,2950,2.207,27.671
3,3000,2.078,27.671
3,3050,2.2632,27.671
3,3100,2.2158,27.671
3,3150,2.2305,27.671
3,3200,2.3131,27.671
3,3250,2.2489,27.671
3,3300,2.1005,27.671
3,3350,2.2065,27.671
3,3400,2.1315,27.671
3,3450,2.0773,27.671
3,3500,2.195,27.671
3,3550,2.2091,27.671
3,3600,2.1875,27.671
3,3650,2.1248,27.671
3,3700,2.2208,27.671
3,3750,2.2263,27.671
3,3800,2.2361,27.671
3,3850,2.1827,27.671
3,3900,2.3293,27.671
3,3950,2.1786,27.671
3,4000,2.2279,27.671
3,4050,2.2831,27.671
3,4100,2.2523,27.671
3,4150,2.2436,27.671
3,4200,2.1592,27.671
3,4250,2.2016,27.671
4,4300,2.118,27.9117
4,4350,1.9845,27.9117
4,4400,1.9819,27.9117
4,4450,1.9872,27.9117
4,4500,2.0129,27.9117
4,4550,1.9626,27.9117
4,4600,1.9379,27.9117
4,4650,2.0338,27.9117
4,4700,1.9557,27.9117
4,4750,2.0045,27.9117
4,4800,2.0555,27.9117
4,4850,2.001,27.9117
4,4900,2.1185,27.9117
4,4950,2.0302,27.9117
4,5000,2.051,27.9117
4,5050,1.9524,27.9117
4,5100,2.1454,27.9117
4,5150,2.0263,27.9117
4,5200,2.0287,27.9117
4,5250,2.0849,27.9117
4,5300,1.962,27.9117
4,5350,1.9404,27.9117
4,5400,2.0517,27.9117
4,5450,2.0228,27.9117
4,5500,2.0052,27.9117
4,5550,2.0488,27.9117
4,5600,1.9071,27.9117
4,5650,2.058,27.9117
4,5700,2.0696,27.9117
5,5750,1.8755,29.2851
5,5800,2.0279,29.2851
5,5850,1.7987,29.2851
5,5900,1.7357,29.2851
5,5950,1.8434,29.2851
5,6000,1.7463,29.2851
5,6050,1.7211,29.2851
5,6100,1.7501,29.2851
5,6150,1.8263,29.2851
5,6200,1.7881,29.2851
5,6250,1.8143,29.2851
5,6300,1.7799,29.2851
5,6350,1.94,29.2851
5,6400,1.8455,29.2851
5,6450,1.8324,29.2851
5,6500,1.8254,29.2851
5,6550,1.8247,29.2851
5,6600,1.8287,29.2851
5,6650,1.8501,29.2851
5,6700,1.7841,29.2851
5,6750,1.9776,29.2851
5,6800,1.8398,29.2851
5,6850,1.9761,29.2851
5,6900,1.9062,29.2851
5,6950,1.79,29.2851
5,7000,1.9024,29.2851
5,7050,1.8503,29.2851
5,7100,1.8615,29.2851
6,7150,1.8266,29.3882
6,7200,1.6184,29.3882
6,7250,1.6904,29.3882
6,7300,1.6469,29.3882
6,7350,1.5795,29.3882
6,7400,1.529,29.3882
6,7450,1.6507,29.3882
6,7500,1.5932,29.3882
6,7550,1.69,29.3882
6,7600,1.6546,29.3882
6,7650,1.6213,29.3882
6,7700,1.6251,29.3882
6,7750,1.7355,29.3882
6,7800,1.6278,29.3882
6,7850,1.637,29.3882
6,7900,1.7356,29.3882
6,7950,1.5689,29.3882
6,8000,1.8705,29.3882
6,8050,1.5601,29.3882
6,8100,1.5681,29.3882
6,8150,1.6317,29.3882
6,8200,1.7278,29.3882
6,8250,1.744,29.3882
6,8300,1.603,29.3882
6,8350,1.6675,29.3882
6,8400,1.5461,29.3882
6,8450,1.704,29.3882
6,8500,1.6875,29.3882
6,8550,1.6794,29.3882
7,8600,1.6632,29.2131
7,8650,1.4233,29.2131
7,8700,1.4297,29.2131
7,8750,1.3643,29.2131
7,8800,1.4422,29.2131
7,8850,1.4376,29.2131
7,8900,1.4188,29.2131
7,8950,1.4959,29.2131
7,9000,1.4518,29.2131
7,9050,1.5107,29.2131
7,9100,1.4388,29.2131
7,9150,1.4546,29.2131
7,9200,1.476,29.2131
7,9250,1.5939,29.2131
7,9300,1.5492,29.2131
7,9350,1.442,29.2131
7,9400,1.5522,29.2131
7,9450,1.4987,29.2131
7,9500,1.4987,29.2131
7,9550,1.389,29.2131
7,9600,1.4369,29.2131
7,9650,1.5276,29.2131
7,9700,1.4383,29.2131
7,9750,1.5016,29.2131
7,9800,1.5253,29.2131
7,9850,1.4155,29.2131
7,9900,1.4855,29.2131
7,9950,1.4585,29.2131
7,10000,1.3842,29.2131
8,10050,1.2758,29.5635
8,10100,1.2446,29.5635
8,10150,1.2428,29.5635
8,10200,1.2316,29.5635
8,10250,1.2716,29.5635
8,10300,1.2885,29.5635
8,10350,1.2454,29.5635
8,10400,1.2314,29.5635
8,10450,1.3524,29.5635
8,10500,1.3206,29.5635
8,10550,1.2787,29.5635
8,10600,1.3011,29.5635
8,10650,1.2358,29.5635
8,10700,1.2635,29.5635
8,10750,1.2843,29.5635
8,10800,1.2888,29.5635
8,10850,1.3181,29.5635
8,10900,1.2656,29.5635
8,10950,1.2759,29.5635
8,11000,1.191,29.5635
8,11050,1.2906,29.5635
8,11100,1.3046,29.5635
8,11150,1.3336,29.5635
8,11200,1.279,29.5635
8,11250,1.289,29.5635
8,11300,1.3077,29.5635
8,11350,1.2686,29.5635
8,11400,1.3184,29.5635
9,11450,1.2845,29.2701
9,11500,1.0821,29.2701
9,11550,1.077,29.2701
9,11600,1.113,29.2701
9,11650,1.0927,29.2701
9,11700,1.1732,29.2701
9,11750,1.135,29.2701
9,11800,1.1642,29.2701
9,11850,1.0802,29.2701
9,11900,1.1551,29.2701
9,11950,1.1698,29.2701
9,12000,1.2122,29.2701
9,12050,1.0592,29.2701
9,12100,1.1282,29.2701
9,12150,1.0935,29.2701
9,12200,1.1181,29.2701
9,12250,1.1494,29.2701
9,12300,1.1247,29.2701
9,12350,1.1016,29.2701
9,12400,1.1347,29.2701
9,12450,1.19,29.2701
9,12500,1.0777,29.2701
9,12550,1.1191,29.2701
9,12600,1.1384,29.2701
9,12650,1.1381,29.2701
9,12700,1.1018,29.2701
9,12750,1.1357,29.2701
9,12800,1.1285,29.2701
9,12850,1.2002,29.2701
10,12900,1.0746,29.3173
10,12950,1.0021,29.3173
10,13000,1.0456,29.3173
10,13050,0.9835,29.3173
10,13100,0.9747,29.3173
10,13150,0.9785,29.3173
10,13200,0.9914,29.3173
10,13250,1.0207,29.3173
10,13300,0.9954,29.3173
10,13350,1.0201,29.3173
10,13400,0.9417,29.3173
